DATE,VALUE
1927-01-01,974.0
1928-01-01,1063.0
1929-01-01,1213.0
1930-01-01,1249.0
1931-01-01,1302.0
1932-01-01,1205.0
1933-01-01,1342.0
1934-01-01,1351.0
1935-01-01,1357.0
1936-01-01,1588.0
1937-01-01,1612.0
1938-01-01,1724.0
1939-01-01,1814.0
1940-01-01,1675.0
1945-01-01,1133.0
1950-01-01,1623.0
1960-01-01,2449.49172113529
1961-01-01,2410.64315192164
1962-01-01,2477.15779671441
1963-01-01,2630.46192631855
1964-01-01,2702.27677562415
1965-01-01,2709.66882095403
1966-01-01,2937.88808573302
1967-01-01,2998.05906252199
1968-01-01,3121.39879143887
1969-01-01,3170.16461269859
1970-01-01,3196.68555963572
1971-01-01,3295.46998829981
1972-01-01,3456.20727498748
1973-01-01,3487.3522082994
1974-01-01,3601.7966810353
1975-01-01,3780.9371520204
1976-01-01,4092.05544946496
1977-01-01,4145.06343835049
1978-01-01,4123.30032361003
1979-01-01,4017.92426432571
1980-01-01,3842.04482389031
1981-01-01,3949.28850759335
1982-01-01,4003.50315441713
1983-01-01,4104.90632975913
1984-01-01,4280.87525403423
1985-01-01,4364.45011849922
1986-01-01,4572.10668339085
1987-01-01,4904.82484018353
1988-01-01,4919.41900099648
1989-01-01,4837.93436492876
1990-01-01,5188.18244439241
1991-01-01,5134.41760859332
1992-01-01,5301.80855995835
1993-01-01,5609.85056721492
1994-01-01,5255.80339746778
1995-01-01,5577.82539654281
1996-01-01,5887.67309798528
1997-01-01,6230.18622126407
1998-01-01,6261.28870069222
1999-01-01,5989.55700860592
2000-01-01,6326.25746472488
2001-01-01,5906.92348536699
2002-01-01,6211.70542960394
2003-01-01,6496.07277294612
2004-01-01,7061.62219794984
2005-01-01,7623.14640948457
2006-01-01,8078.5153787571
2007-01-01,8477.53328393352
2008-01-01,8447.93976396947
2009-01-01,7925.30110421185
2010-01-01,8472.57809050119
2011-01-01,9265.85910238578
2012-01-01,9588.32066531438
2013-01-01,10269.4489140773
2014-01-01,10597.9801881716
2015-01-01,11064.6494504662
2016-01-01,11279.6169531569
2017-01-01,12005.6459824832
2018-01-01,12255.0082146169
2019-01-01,12238.2950220128
2020-01-01,12338.643833135
2021-01-01,13670.938029516
2022-01-01,14273.5747654873
2023-01-01,14932.8851363122
2024-01-01,15395.0278894893
