Year,UrbanPopulation,UrbanPercent,RuralPopulation,RuralPercent
1927,3306,24.2,10342,75.8
1935,3802,23.5,12355,76.5
1940,4346,24.4,13475,75.6
1945,4687,24.9,14103,75.1
1950,5244,25.0,15703,75.0
1955,6927,28.8,17137,71.2
1960,8860,31.9,18895,68.1
1965,10806,34.4,20585,65.6
1970,13691,38.5,21914,61.5
1975,16869,41.8,23478,58.2
1980,19645,43.9,25091,56.1
1985,26866,53.0,23799,47.0
1990,33949,59.2,23395,40.8
1995,38974,62.1,23763,37.9
2000,44006,65.0,23797,35.0
2005,43097,67.3,23872,32.7
2010,54119,69.6,23584,30.4
2020,63658,74.0,22412,26.0
